    22       3 
Wavelength (Angstroms)                                                                                                          
  7.950E+02  8.050E+02  8.150E+02  8.250E+02  8.350E+02  8.450E+02  8.550E+02  8.650E+02  8.750E+02  8.850E+02
  8.950E+02  9.050E+02  9.150E+02  9.250E+02  9.350E+02  9.450E+02  9.550E+02  9.650E+02  9.750E+02  9.850E+02
  9.950E+02  1.005E+03
Total Absorption Cross Section (cm^2) 
  2.604E-17  1.808E-17  1.654E-17  1.409E-17  1.314E-17  1.496E-17  1.765E-17  2.442E-17  3.480E-17  5.279E-17
  8.150E-17  8.927E-17  8.500E-17  4.100E-17  7.800E-17  6.200E-17  6.900E-17  3.700E-17  3.700E-17  2.633E-17
  9.967E-17  5.124E-17
Total Ion Cross Section (cm^2) 
  1.554E-17  1.239E-17  1.230E-17  1.236E-17  1.204E-17  1.305E-17  1.472E-17  2.123E-17  2.900E-17  3.708E-17
  4.240E-17  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00
CO2          + hv           = CO           + O1D          +              +              983.0                                   
  1.613E-01  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00
  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00  0.950E+00
  0.950E+00  1.000E+00
CO2          + hv           = CO           + O            +              +              870.1                                   
  1.903E-01  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00
CO2          + hv           = C            + O2           +              +              816.0                                   
  0.000E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00
  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00  0.050E+00
  0.050E+00  0.000E+00
